新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计治愈
1,41,0,8,0,0,0,2280
0,40,5,8,0,0,0,2280
1,45,3,8,0,0,0,2275
5,47,0,8,0,0,0,2272
2,42,0,8,0,0,0,2272
1,40,4,8,0,0,0,2272
0,43,4,8,0,0,0,2268
2,47,2,8,0,0,0,2264
4,47,3,8,0,0,0,2262
3,46,2,8,0,0,0,2259
2,45,1,8,0,0,0,2257
4,44,2,8,0,0,0,2256
3,42,0,8,0,0,0,2254
2,39,1,8,0,0,0,2254
3,38,4,8,0,0,0,2253
1,39,0,8,0,0,0,2249
0,38,4,8,0,0,0,2249
4,42,3,8,0,0,0,2245
1,41,0,8,0,0,0,2242
1,40,0,8,0,0,0,2242
2,39,3,8,0,0,0,2242
0,40,0,8,0,0,0,2239
2,40,2,8,0,0,0,2239
3,40,1,8,0,0,0,2237
0,38,1,8,0,0,0,2236
3,39,2,8,0,0,0,2235
2,38,0,8,0,0,0,2233
2,36,1,8,0,0,0,2233
8,35,2,8,0,0,0,2232
1,29,1,8,0,0,0,2230
1,29,3,8,0,0,0,2229
2,31,4,8,0,0,0,2226
4,33,3,8,0,0,0,2222
2,32,1,8,0,0,0,2219
4,31,1,8,0,0,0,2218
1,28,1,8,0,0,0,2217
1,28,3,8,0,0,0,2216
2,30,1,8,0,0,0,2213
3,29,6,8,0,0,0,2212
1,32,3,8,0,0,0,2206
0,34,1,8,0,0,0,2203
0,35,3,8,0,0,0,2202
1,38,7,8,0,0,0,2199
1,44,2,8,0,0,0,2192
3,45,1,8,0,0,0,2190
2,43,4,8,0,0,0,2189
2,45,1,8,0,0,0,2185
1,44,2,8,0,0,0,2184
2,45,2,8,0,0,0,2182
4,45,2,8,0,0,0,2180
4,43,5,8,0,0,0,2178
3,44,6,8,0,0,0,2173
1,47,1,8,0,0,0,2167
3,47,4,8,0,0,0,2166
3,48,3,8,0,0,0,2162
3,48,1,8,0,0,0,2159
6,46,3,8,0,0,0,2158
1,43,0,8,0,0,0,2155
5,42,1,8,0,0,0,2155
2,38,8,8,0,0,0,2154
1,44,5,8,0,0,0,2146
1,48,1,8,0,0,0,2141
9,48,3,8,0,0,0,2140
3,42,3,8,0,0,0,2137
1,42,8,8,0,0,0,2134
3,49,5,8,0,0,0,2126
0,51,9,8,0,0,0,2121
3,60,0,8,0,0,0,2112
6,57,4,8,0,0,0,2112
8,55,3,8,0,0,0,2108
4,50,4,8,0,0,0,2105
2,50,3,8,0,0,0,2101
3,51,1,8,0,0,0,2098
2,49,0,8,0,0,0,2097
1,47,3,8,0,0,0,2097
0,49,3,8,0,0,0,2094
7,52,3,8,0,0,0,2091
9,48,5,8,0,0,0,2088
0,44,0,8,0,0,0,2083
1,44,2,8,0,0,0,2083
2,45,3,8,0,0,0,2081
3,46,1,8,0,0,0,2078
2,44,0,8,0,0,0,2077
3,42,12,8,0,0,0,2077
0,51,0,8,0,0,0,2065
3,51,5,8,0,0,0,2065
5,53,1,8,0,0,0,2060
0,49,0,8,0,0,0,2059
1,49,2,8,0,0,0,2059
7,50,0,8,0,0,0,2057
2,43,2,8,0,0,0,2057
2,43,2,8,0,0,0,2055
5,43,1,8,0,0,0,2053
1,39,3,8,0,0,0,2052
5,41,5,8,0,0,0,2049
0,41,0,8,0,0,0,2044
3,41,5,8,0,0,0,2044
3,43,4,8,0,0,0,2039
1,44,1,8,0,0,0,2035
2,44,2,8,0,0,0,2034
3,44,2,8,0,0,0,2032
3,43,2,8,0,0,0,2030
0,42,0,8,0,0,0,2028
3,42,4,8,0,0,0,2028
7,43,2,8,0,0,0,2024
0,38,0,8,0,0,0,2022
1,38,0,8,0,0,0,2022
2,37,2,8,0,0,0,2022
5,37,5,8,0,0,0,2020
0,37,0,8,0,0,0,2015
3,37,1,8,0,0,0,2015
4,35,2,8,0,0,0,2014
2,33,0,8,0,0,0,2012
2,31,1,8,0,0,0,2012
3,30,1,8,0,0,0,2011
2,28,2,8,0,0,0,2010
3,28,0,8,0,0,0,2008
1,25,0,8,0,0,0,2008
1,24,5,8,0,0,0,2008
1,28,5,8,0,0,0,2003
0,32,2,8,0,0,0,1998
2,34,3,8,0,0,0,1996
0,35,0,8,0,0,0,1993
1,35,7,8,0,0,0,1993
4,41,6,8,0,0,0,1986
0,43,0,8,0,0,0,1980
3,43,1,8,0,0,0,1980
1,41,2,8,0,0,0,1979
1,42,3,8,0,0,0,1977
4,44,1,8,0,0,0,1974
1,41,0,8,0,0,0,1973
3,40,0,8,0,0,0,1973
1,37,0,8,0,0,0,1973
1,36,1,8,0,0,0,1973
1,36,2,8,0,0,0,1972
2,37,1,8,0,0,0,1970
3,36,1,8,0,0,0,1969
1,34,2,8,0,0,0,1968
2,35,2,8,0,0,0,1966
3,35,4,8,0,0,0,1964
2,36,4,8,0,0,0,1960
2,38,0,8,0,0,0,1956
3,36,3,8,0,0,0,1956
1,36,1,8,0,0,0,1953
4,36,1,8,0,0,0,1952
3,33,2,8,0,0,0,1951
0,32,0,8,0,0,0,1949
1,32,2,8,0,0,0,1949
0,33,0,8,0,0,0,1947
0,33,5,8,0,0,0,1947
0,38,0,8,0,0,0,1942
4,38,1,8,0,0,0,1942
1,35,1,8,0,0,0,1941
8,35,3,8,0,0,0,1940
0,30,2,8,0,0,0,1937
0,32,0,8,0,0,0,1935
0,32,2,8,0,0,0,1935
2,34,0,8,0,0,0,1933
1,32,3,8,0,0,0,1933
1,34,5,8,0,0,0,1930
3,38,2,8,0,0,0,1925
2,37,1,8,0,0,0,1923
3,36,0,8,0,0,0,1922
7,33,1,8,0,0,0,1922
0,27,3,8,0,0,0,1921
1,30,3,8,0,0,0,1918
0,32,6,8,0,0,0,1915
10,38,5,8,0,0,0,1909
0,33,2,8,0,0,0,1904
2,35,0,8,0,0,0,1902
2,33,3,8,8,0,0,1902
3,42,3,0,-8,0,0,1899
0,34,5,8,0,0,0,1896
3,39,0,8,0,0,0,1891
8,36,4,8,0,0,0,1891
5,32,5,8,0,0,0,1887
3,32,0,8,0,0,0,1882
3,29,5,8,0,0,0,1882
2,31,7,8,0,0,0,1877
3,36,0,8,0,0,0,1870
2,33,1,8,0,0,0,1870
1,32,4,8,0,0,0,1869
4,35,8,8,0,0,0,1865
0,39,0,8,0,0,0,1857
9,39,9,8,0,0,0,1857
0,39,0,8,0,0,0,1848
3,39,4,8,0,0,0,1848
3,40,3,8,0,0,0,1844
5,40,1,8,0,0,0,1841
3,36,8,8,0,0,0,1840
4,41,0,8,0,0,0,1832
2,37,1,8,0,0,0,1832
6,36,5,8,0,0,0,1831
0,35,0,8,0,0,0,1826
6,35,1,8,0,0,0,1826
2,30,2,8,0,0,0,1825
3,30,1,8,0,0,0,1823
