新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计确诊
0,44,0,8,0,0,0,2135
1,44,2,8,0,0,0,2135
2,45,3,8,0,0,0,2134
3,46,1,8,0,0,0,2132
2,44,0,8,0,0,0,2129
3,42,12,8,0,0,0,2127
0,51,0,8,0,0,0,2124
3,51,5,8,0,0,0,2124
5,53,1,8,0,0,0,2121
0,49,0,8,0,0,0,2116
1,49,2,8,0,0,0,2116
7,50,0,8,0,0,0,2115
2,43,2,8,0,0,0,2108
2,43,2,8,0,0,0,2106
5,43,1,8,0,0,0,2104
1,39,3,8,0,0,0,2099
5,41,5,8,0,0,0,2098
0,41,0,8,0,0,0,2093
3,41,5,8,0,0,0,2093
3,43,4,8,0,0,0,2090
1,44,1,8,0,0,0,2087
2,44,2,8,0,0,0,2086
3,44,2,8,0,0,0,2084
3,43,2,8,0,0,0,2081
0,42,0,8,0,0,0,2078
3,42,4,8,0,0,0,2078
7,43,2,8,0,0,0,2075
0,38,0,8,0,0,0,2068
1,38,0,8,0,0,0,2068
2,37,2,8,0,0,0,2067
5,37,5,8,0,0,0,2065
0,37,0,8,0,0,0,2060
3,37,1,8,0,0,0,2060
4,35,2,8,0,0,0,2057
2,33,0,8,0,0,0,2053
2,31,1,8,0,0,0,2051
3,30,1,8,0,0,0,2049
2,28,2,8,0,0,0,2046
3,28,0,8,0,0,0,2044
1,25,0,8,0,0,0,2041
1,24,5,8,0,0,0,2040
1,28,5,8,0,0,0,2039
0,32,2,8,0,0,0,2038
2,34,3,8,0,0,0,2038
0,35,0,8,0,0,0,2036
1,35,7,8,0,0,0,2036
4,41,6,8,0,0,0,2035
0,43,0,8,0,0,0,2031
3,43,1,8,0,0,0,2031
1,41,2,8,0,0,0,2028
1,42,3,8,0,0,0,2027
4,44,1,8,0,0,0,2026
1,41,0,8,0,0,0,2022
3,40,0,8,0,0,0,2021
1,37,0,8,0,0,0,2018
1,36,1,8,0,0,0,2017
1,36,2,8,0,0,0,2016
2,37,1,8,0,0,0,2015
3,36,1,8,0,0,0,2013
1,34,2,8,0,0,0,2010
2,35,2,8,0,0,0,2009
3,35,4,8,0,0,0,2007
2,36,4,8,0,0,0,2004
2,38,0,8,0,0,0,2002
3,36,3,8,0,0,0,2000
1,36,1,8,0,0,0,1997
4,36,1,8,0,0,0,1996
3,33,2,8,0,0,0,1992
0,32,0,8,0,0,0,1989
1,32,2,8,0,0,0,1989
0,33,0,8,0,0,0,1988
0,33,5,8,0,0,0,1988
0,38,0,8,0,0,0,1988
4,38,1,8,0,0,0,1988
1,35,1,8,0,0,0,1984
8,35,3,8,0,0,0,1983
0,30,2,8,0,0,0,1975
0,32,0,8,0,0,0,1975
0,32,2,8,0,0,0,1975
2,34,0,8,0,0,0,1975
1,32,3,8,0,0,0,1973
1,34,5,8,0,0,0,1972
3,38,2,8,0,0,0,1971
2,37,1,8,0,0,0,1968
3,36,0,8,0,0,0,1966
7,33,1,8,0,0,0,1963
0,27,3,8,0,0,0,1956
1,30,3,8,0,0,0,1956
0,32,6,8,0,0,0,1955
10,38,5,8,0,0,0,1955
0,33,2,8,0,0,0,1945
2,35,0,8,0,0,0,1945
2,33,3,8,8,0,0,1943
3,42,3,0,-8,0,0,1941
0,34,5,8,0,0,0,1938
3,39,0,8,0,0,0,1938
8,36,4,8,0,0,0,1935
5,32,5,8,0,0,0,1927
3,32,0,8,0,0,0,1922
3,29,5,8,0,0,0,1919
2,31,7,8,0,0,0,1916
3,36,0,8,0,0,0,1914
2,33,1,8,0,0,0,1911
1,32,4,8,0,0,0,1909
