,﻿省份,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
373,广东,3339,5,46,3285,5,8,0,0,0
374,广东,3334,1,46,3280,2,8,0,0,0
375,广东,3333,0,47,3278,5,8,0,0,0
376,广东,3333,0,52,3273,2,8,0,0,0
377,广东,3333,3,54,3271,1,8,0,0,0
378,广东,3330,3,52,3270,7,8,0,0,0
379,广东,3327,3,56,3263,3,8,0,0,0
380,广东,3324,1,56,3260,3,8,0,0,0
381,广东,3323,1,58,3257,6,8,0,0,0
382,广东,3322,4,63,3251,0,8,0,0,0
383,广东,3318,3,59,3251,2,8,0,0,0
384,广东,3315,1,58,3249,1,8,0,0,0
385,广东,3314,4,58,3248,4,8,0,0,0
386,广东,3310,9,58,3244,0,8,0,0,0
387,广东,3301,4,49,3244,3,8,0,0,0
388,广东,3297,3,48,3241,1,8,0,0,0
389,广东,3294,3,46,3240,3,8,0,0,0
390,广东,3291,6,46,3237,4,8,0,0,0
391,广东,3285,4,44,3233,1,8,0,0,0
392,广东,3281,2,41,3232,1,8,0,0,0
393,广东,3279,5,40,3231,1,8,0,0,0
394,广东,3274,2,36,3230,2,8,0,0,0
395,广东,3272,3,36,3228,1,8,0,0,0
396,广东,3269,2,34,3227,3,8,0,0,0
397,广东,3267,3,35,3224,0,8,0,0,0
398,广东,3264,4,32,3224,3,8,0,0,0
399,广东,3260,1,31,3221,5,8,0,0,0
400,广东,3259,2,35,3216,0,8,0,0,0
401,广东,3257,4,33,3216,5,8,0,0,0
402,广东,3253,1,34,3211,0,8,0,0,0
403,广东,3252,1,33,3211,3,8,0,0,0
404,广东,3251,2,35,3208,6,8,0,0,0
405,广东,3249,1,39,3202,8,8,0,0,0
406,广东,3248,1,46,3194,0,8,0,0,0
407,广东,3247,4,45,3194,1,8,0,0,0
408,广东,3243,3,42,3193,1,8,0,0,0
409,广东,3240,3,40,3192,2,8,0,0,0
410,广东,3237,3,39,3190,2,8,0,0,0
411,广东,3234,1,38,3188,2,8,0,0,0
412,广东,3233,3,39,3186,1,8,0,0,0
413,广东,3230,4,37,3185,1,8,0,0,0
414,广东,3226,2,34,3184,0,8,0,0,0
415,广东,3224,0,32,3184,4,8,0,0,0
416,广东,3224,1,36,3180,1,8,0,0,0
417,广东,3223,2,36,3179,1,8,0,0,0
418,广东,3221,4,35,3178,2,8,0,0,0
419,广东,3217,0,33,3176,1,8,0,0,0
420,广东,3217,2,34,3175,1,8,0,0,0
421,广东,3215,4,33,3174,2,8,0,0,0
422,广东,3211,0,31,3172,0,8,0,0,0
423,广东,3211,1,31,3172,1,8,0,0,0
424,广东,3210,1,31,3171,1,8,0,0,0
425,广东,3209,1,31,3170,1,8,0,0,0
426,广东,3208,1,31,3169,5,8,0,0,0
427,广东,3207,3,35,3164,4,8,0,0,0
428,广东,3204,3,36,3160,3,8,0,0,0
429,广东,3201,2,36,3157,0,8,0,0,0
430,广东,3199,0,34,3157,0,8,0,0,0
431,广东,3199,0,34,3157,2,8,0,0,0
432,广东,3199,0,36,3155,2,8,0,0,0
433,广东,3199,2,38,3153,1,8,0,0,0
434,广东,3197,2,37,3152,2,8,0,0,0
435,广东,3195,0,37,3150,4,8,0,0,0
436,广东,3195,2,41,3146,3,8,0,0,0
437,广东,3193,0,42,3143,6,8,0,0,0
438,广东,3193,0,48,3137,0,8,0,0,0
439,广东,3193,2,48,3137,6,8,0,0,0
440,广东,3191,0,52,3131,4,8,0,0,0
441,广东,3191,0,56,3127,3,8,0,0,0
442,广东,3191,4,59,3124,3,8,0,0,0
443,广东,3187,4,58,3121,4,8,0,0,0
444,广东,3183,3,58,3117,4,8,0,0,0
445,广东,3180,3,59,3113,4,8,0,0,0
446,广东,3177,6,60,3109,1,8,0,0,0
447,广东,3171,3,55,3108,1,8,0,0,0
448,广东,3168,1,53,3107,0,8,0,0,0
449,广东,3167,3,52,3107,2,8,0,0,0
450,广东,3164,1,51,3105,2,8,0,0,0
451,广东,3163,4,52,3103,3,8,0,0,0
452,广东,3159,9,51,3100,0,8,0,0,0
453,广东,3150,1,42,3100,2,8,0,0,0
454,广东,3149,2,43,3098,4,8,0,0,0
455,广东,3147,2,45,3094,3,8,0,0,0
456,广东,3145,3,46,3091,5,8,0,0,0
457,广东,3142,0,48,3086,4,8,0,0,0
458,广东,3142,2,52,3082,3,8,0,0,0
459,广东,3140,3,53,3079,9,8,0,0,0
460,广东,3137,2,59,3070,5,8,0,0,0
461,广东,3135,3,62,3065,6,8,0,0,0
462,广东,3132,4,65,3059,6,8,0,0,0
463,广东,3128,8,67,3053,6,8,0,0,0
464,广东,3120,3,65,3047,7,8,0,0,0
465,广东,3117,6,69,3040,4,8,0,0,0
466,广东,3111,2,67,3036,5,8,0,0,0
467,广东,3109,5,70,3031,7,8,0,0,0
468,广东,3104,4,72,3024,4,8,0,0,0
469,广东,3100,4,72,3020,4,8,0,0,0
470,广东,3096,2,72,3016,1,8,0,0,0
471,广东,3094,7,71,3015,9,8,0,0,0
472,广东,3087,4,73,3006,4,8,0,0,0
473,广东,3083,4,73,3002,3,8,0,0,0
474,广东,3079,5,72,2999,4,8,0,0,0
475,广东,3074,9,71,2995,5,8,0,0,0
476,广东,3065,6,67,2990,5,8,0,0,0
477,广东,3059,4,66,2985,10,8,0,0,0
478,广东,3055,9,72,2975,9,8,0,0,0
479,广东,3046,3,72,2966,11,8,0,0,0
480,广东,3043,3,80,2955,8,8,0,0,0
481,广东,3040,17,85,2947,10,8,0,0,0
482,广东,3023,0,78,2937,0,8,0,0,0
483,广东,3023,3,78,2937,2,8,0,0,0
484,广东,3020,8,77,2935,10,8,0,0,0
485,广东,3012,5,79,2925,9,8,0,0,0
486,广东,3007,6,83,2916,5,8,0,0,0
487,广东,3001,4,82,2911,4,8,0,0,0
488,广东,2997,9,82,2907,12,8,0,0,0
489,广东,2988,10,85,2895,13,8,0,0,0
490,广东,2978,1,88,2882,8,8,0,0,0
491,广东,2977,9,95,2874,3,8,0,0,0
492,广东,2968,5,89,2871,2,8,0,0,0
493,广东,2963,13,86,2869,10,8,0,0,0
494,广东,2950,3,83,2859,3,8,0,0,0
495,广东,2947,9,83,2856,6,8,0,0,0
496,广东,2938,5,80,2850,4,8,0,0,0
497,广东,2933,2,79,2846,4,8,0,0,0
498,广东,2931,8,81,2842,3,8,0,0,0
499,广东,2923,8,76,2839,7,8,0,0,0
500,广东,2915,3,75,2832,2,8,0,0,0
501,广东,2912,3,74,2830,4,8,0,0,0
502,广东,2909,13,75,2826,4,8,0,0,0
503,广东,2896,2,66,2822,6,8,0,0,0
504,广东,2894,2,70,2816,5,8,0,0,0
505,广东,2892,6,73,2811,2,8,0,0,0
506,广东,2886,2,69,2809,2,8,0,0,0
507,广东,2884,2,69,2807,5,8,0,0,0
508,广东,2882,1,72,2802,1,8,0,0,0
509,广东,2881,9,72,2801,3,8,0,0,0
510,广东,2872,3,66,2798,5,8,0,0,0
511,广东,2869,3,68,2793,5,8,0,0,0
512,广东,2866,13,70,2788,9,8,0,0,0
513,广东,2853,8,66,2779,8,8,0,0,0
514,广东,2845,6,66,2771,7,8,0,0,0
515,广东,2839,5,67,2764,5,8,0,0,0
516,广东,2834,14,67,2759,5,8,0,0,0
517,广东,2820,7,58,2754,3,8,0,0,0
518,广东,2813,1,54,2751,6,8,0,0,0
519,广东,2812,4,59,2745,4,8,0,0,0
520,广东,2808,8,59,2741,6,8,0,0,0
521,广东,2800,4,57,2735,3,8,0,0,0
522,广东,2796,1,56,2732,8,8,0,0,0
523,广东,2795,4,63,2724,3,8,0,0,0
524,广东,2791,12,62,2721,4,8,0,0,0
525,广东,2779,2,54,2717,9,8,0,0,0
526,广东,2777,3,61,2708,4,8,0,0,0
527,广东,2774,3,62,2704,5,8,0,0,0
528,广东,2771,1,64,2699,8,8,0,0,0
529,广东,2770,1,71,2691,5,8,0,0,0
530,广东,2769,3,75,2686,9,8,0,0,0
531,广东,2766,2,81,2677,20,8,0,0,0
532,广东,2764,5,99,2657,9,8,0,0,0
533,广东,2759,3,103,2648,23,8,0,0,0
534,广东,2756,5,123,2625,6,8,0,0,0
535,广东,2751,3,124,2619,9,8,0,0,0
536,广东,2748,3,130,2610,17,8,0,0,0
537,广东,2745,8,144,2593,10,8,0,0,0
538,广东,2737,0,146,2583,12,8,0,0,0
539,广东,2737,1,158,2571,6,8,0,0,0
540,广东,2736,3,163,2565,7,8,0,0,0
541,广东,2733,5,167,2558,6,8,0,0,0
